ingredient_name,common_alias_names,category,safety_status,reason,simple_explanation,allergen,safe_frequency_per_week,source_reference
Citric Acid,"INS 330, E330, Citric Acid",ingredient,safe,Natural souring agent and preservative.,An acid naturally found in citrus fruits like lemons and limes. It is used in foods to add a tart or sour taste and acts as a natural preservative to keep food fresh.,none,no limit,FSSAI
Sodium Benzoate,"INS 211, E211, Sodium Benzoate",additive,moderate,Synthetic chemical preservative. Can form benzene when combined with Vitamin C.,A chemical preservative made in a lab to stop mold and bacteria from growing in acidic foods like sodas and pickles. It helps extend shelf life.,none,3 times/week,WHO
Potassium Sorbate,"INS 202, E202, Potassium Sorbate",additive,safe,Standard food preservative to prevent mold.,"A lab-made salt that stops mold and yeast from growing in cheese, wine, and yogurt. It breaks down naturally in our body just like fatty acids.",none,no limit,WHO
Monosodium Glutamate,"MSG, INS 621, E621, Glutamate, Monosodium Glutamate",additive,moderate,Flavor enhancer. May cause sensitivity or headaches in some individuals.,"A sodium salt of a common amino acid. It adds a savory, meaty flavor (umami) to foods. It occurs naturally in cheese and tomatoes but is added to chips and soups to boost taste.",none,3 times/week,FSSAI
Soy Lecithin,"INS 322, E322, Soy Lecithin",ingredient,safe,Emulsifier extracted from soybeans.,"A natural fat extracted from soybeans. It acts as an emulsifier, which helps mix water and oil together so ingredients do not separate in chocolate or salad dressings.",soy,no limit,FSSAI
Guar Gum,"INS 412, E412, Guar Gum",ingredient,safe,Natural thickener from guar beans.,"A natural powder made from guar beans. It is used to thicken foods and make textures smooth, like in ice creams and sauces.",none,no limit,FSSAI
Xanthan Gum,"INS 415, E415, Xanthan Gum",ingredient,safe,Thickener created by fermenting sugar.,"A natural thickener made by fermenting sugars with a specific bacteria. It gives a thick, uniform texture to salad dressings and gluten-free baking.",none,no limit,FSSAI
Carrageenan,"INS 407, E407, Carrageenan",additive,moderate,Thickener from seaweed. May cause mild digestive inflammation in sensitive people.,"A gel extracted from red seaweed. It is used to thicken and stabilize dairy and plant-based milks, but it can occasionally cause stomach upset in some people.",none,3 times/week,WHO
Aspartame,"INS 951, E951, Aspartame",additive,moderate,Artificial sweetener. Contains phenylalanine (hazardous for PKU patients).,"An artificial sweetener made in a lab. It is 200 times sweeter than sugar and used in diet sodas. It provides a sweet taste without calories, but should be avoided by people with the rare genetic condition PKU.",none,5 times/week,WHO
Acesulfame Potassium,"Acesulfame K, INS 950, E950, Acesulfame Potassium",additive,moderate,Artificial zero-calorie sweetener.,A calorie-free sugar substitute made in a lab. It is 200 times sweeter than sugar and is often blended with other sweeteners to mask bitter aftertastes in diet sodas.,none,5 times/week,WHO
High Fructose Corn Syrup,"HFCS, High Fructose Corn Syrup",ingredient,unsafe,Highly processed sweetener. Strongly linked to obesity and diabetes.,"A highly sweet syrup made from corn starch. It is cheap and heavily used in processed foods, but eating too much of it can lead to weight gain, liver fat, and diabetes.",none,avoid,WHO
Tartrazine,"INS 102, E102, Yellow 5, Tartrazine",additive,unsafe,Synthetic yellow food dye. Linked to hyperactivity in children.,"A bright yellow artificial food coloring made from petroleum. It is used in candies and sodas. In some children, it has been linked to hyperactivity and mild allergic reactions.",none,avoid,WHO
Sunset Yellow FCF,"INS 110, E110, Yellow 6, Sunset Yellow FCF",additive,unsafe,Synthetic orange food dye. Linked to hyperactivity in children.,"An artificial orange food coloring. Used to make snacks and sodas look bright, but regulated or restricted in some countries due to potential hyperactivity links in kids.",none,avoid,FSSAI
Brilliant Blue FCF,"INS 133, E133, Blue 1, Brilliant Blue FCF",additive,unsafe,Synthetic blue food dye.,"A bright blue artificial food coloring made from petroleum. Used in blue candies, drinks, and ice creams. Regulated in quantity as it does not occur in nature.",none,avoid,FSSAI
Caramel Color,"INS 150a, INS 150d, E150, Caramel Color",additive,moderate,Ammonia-sulfite processed coloring. Contains trace 4-MEI in some classes.,A dark brown food coloring made by heating carbohydrates (sugars) under controlled chemistry. Class III and IV varieties use ammonia or sulfites and are regulated in soft drinks.,none,3 times/week,FSSAI
Palm Oil,"Palm Oil, Refined Palm Oil",ingredient,moderate,High in saturated fats. Environmental concerns.,"A vegetable oil extracted from palm fruit. It is highly saturated, making it semi-solid at room temp and perfect for crispy cookies and long shelf life, but it raises LDL cholesterol.",none,3 times/week,ICMR
Hydrogenated Vegetable Oil,"Hydrogenated Vegetable Oil, Vanaspati, Trans Fat",ingredient,unsafe,Contains trans fats which raise harmful cholesterol and lower good cholesterol.,"Vegetable oil that has been chemically altered with hydrogen to turn it from liquid to solid. It creates trans fats, which are very bad for heart health and block arteries.",none,avoid,WHO
Maltodextrin,Maltodextrin,ingredient,moderate,High glycemic index starch derivative. Spikes blood sugar rapidly.,A processed white powder made from starch (like corn or rice). It is used as a filler or thickener in soups and snacks. It spikes blood sugar even faster than regular sugar.,none,3 times/week,ICMR
